Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,1
Vertical Position,-1.96,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
-5.000e+00,6.24,3.58
-4.999e+00,6.24,3.58
-4.998e+00,6.24,3.58
-4.997e+00,6.32,3.54
-4.996e+00,6.32,3.58
-4.995e+00,6.16,3.54
-4.994e+00,6.32,3.54
-4.993e+00,6.24,3.58
-4.992e+00,6.24,3.54
-4.991e+00,6.32,3.5
-4.990e+00,6.32,3.54
-4.989e+00,6.24,3.5
-4.988e+00,6.32,3.5
-4.987e+00,6.24,3.5
-4.986e+00,6.32,3.5
-4.985e+00,6.24,3.54
-4.984e+00,6.32,3.5
-4.983e+00,6.32,3.42
-4.982e+00,6.32,3.46
-4.981e+00,6.32,3.5
-4.980e+00,6.32,3.5
-4.979e+00,6.32,3.46
-4.978e+00,6.32,3.46
-4.977e+00,6.24,3.46
-4.976e+00,6.16,3.42
-4.975e+00,6.32,3.46
-4.974e+00,6.24,3.5
-4.973e+00,6.24,3.42
-4.972e+00,6.24,3.46
-4.971e+00,6.32,3.46
-4.970e+00,6.32,3.42
-4.969e+00,6.32,3.42
-4.968e+00,6.24,3.42
-4.967e+00,6.24,3.38
-4.966e+00,6.24,3.42
-4.965e+00,6.24,3.42
-4.964e+00,6.32,3.38
-4.963e+00,6.24,3.38
-4.962e+00,6.32,3.34
-4.961e+00,6.32,3.38
-4.960e+00,6.24,3.38
-4.959e+00,6.24,3.38
-4.958e+00,6.24,3.34
-4.957e+00,6.32,3.38
-4.956e+00,6.32,3.38
-4.955e+00,6.4,3.34
-4.954e+00,6.32,3.3
-4.953e+00,6.24,3.34
-4.952e+00,6.16,3.34
-4.951e+00,6.24,3.34
-4.950e+00,6.32,3.3
-4.949e+00,6.32,3.34
-4.948e+00,6.32,3.3
-4.947e+00,6.24,3.3
-4.946e+00,6.24,3.3
-4.945e+00,6.32,3.22
-4.944e+00,6.24,3.26
-4.943e+00,6.32,3.26
-4.942e+00,6.32,3.26
-4.941e+00,6.4,3.3
-4.940e+00,6.24,3.3
-4.939e+00,6.32,3.26
-4.938e+00,6.32,3.22
-4.937e+00,6.24,3.26
-4.936e+00,6.24,3.22
-4.935e+00,6.32,3.22
-4.934e+00,6.24,3.22
-4.933e+00,6.32,3.22
-4.932e+00,6.32,3.22
-4.931e+00,6.24,3.18
-4.930e+00,6.24,3.22
-4.929e+00,6.32,3.22
-4.928e+00,6.32,3.22
-4.927e+00,6.24,3.22
-4.926e+00,6.24,3.18
-4.925e+00,6.24,3.18
-4.924e+00,6.32,3.18
-4.923e+00,6.4,3.22
-4.922e+00,6.32,3.22
-4.921e+00,6.24,3.14
-4.920e+00,6.24,3.22
-4.919e+00,6.32,3.22
-4.918e+00,6.32,3.18
-4.917e+00,6.4,3.18
-4.916e+00,6.32,3.14
-4.915e+00,6.4,3.1
-4.914e+00,6.24,3.14
-4.913e+00,6.24,3.14
