Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0002,
Horizontal Delay,3.4e-05,
Sample Interval,2e-06,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,0.001
Vertical Position,1.38,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.660e-04,2.2,-0.00064
-9.640e-04,3,-0.00048
-9.620e-04,2.6,-0.00064
-9.600e-04,2.6,-0.0002
-9.580e-04,2.6,-0.00044
-9.560e-04,2.6,-0.00016
-9.540e-04,2.6,-0.00056
-9.520e-04,3,-0.0008
-9.500e-04,2.6,-0.00032
-9.480e-04,3,-4e-05
-9.460e-04,3.4,-0.00052
-9.440e-04,3.4,-0.00032
-9.420e-04,3.8,-0.00012
-9.400e-04,3.8,-0.00016
-9.380e-04,4.2,-0.00036
-9.360e-04,4.2,-0.00036
-9.340e-04,4.2,-0.00052
-9.320e-04,3.8,-0.0002
-9.300e-04,4.6,-0.00028
-9.280e-04,4.6,0
-9.260e-04,4.6,-4e-05
-9.240e-04,4.6,-8e-05
-9.220e-04,4.6,-0.00032
-9.200e-04,4.6,-0.00048
-9.180e-04,5.4,-0.00028
-9.160e-04,5,-0.00012
-9.140e-04,5.4,-0.00032
-9.120e-04,5.4,8e-05
-9.100e-04,5.4,-0.0004
-9.080e-04,5.8,-4e-05
-9.060e-04,5.4,-0.00016
-9.040e-04,5.8,0
-9.020e-04,6.2,-0.00012
-9.000e-04,5.8,-0.00028
-8.980e-04,6.2,-0.00036
-8.960e-04,6.6,-0.00036
-8.940e-04,6.2,4e-05
-8.920e-04,6.6,-0.00036
-8.900e-04,6.6,-0.00024
-8.880e-04,6.2,-0.00012
-8.860e-04,6.2,-4e-05
-8.840e-04,7,-0.0002
-8.820e-04,7,-0.00032
-8.800e-04,6.6,-4e-05
-8.780e-04,7,-4e-05
-8.760e-04,7,-0.0004
-8.740e-04,7.4,8e-05
-8.720e-04,7,-0.00028
-8.700e-04,7.4,-0.00036
-8.680e-04,7,-4e-05
-8.660e-04,7.8,-0.00024
-8.640e-04,7.4,-0.00032
-8.620e-04,7.4,-4e-05
-8.600e-04,7.8,-0.00016
-8.580e-04,7.8,-0.00028
-8.560e-04,7.8,-0.00028
-8.540e-04,8.2,-0.00012
-8.520e-04,7.8,0.0002
-8.500e-04,8.2,4e-05
-8.480e-04,8.2,-4e-05
-8.460e-04,8.6,4e-05
-8.440e-04,8.6,8e-05
-8.420e-04,8.6,0
-8.400e-04,8.6,0.00012
-8.380e-04,8.6,0.00012
-8.360e-04,8.6,-4e-05
-8.340e-04,8.2,-0.00012
-8.320e-04,8.2,0
-8.300e-04,8.6,-0.00012
-8.280e-04,8.6,-0.00024
-8.260e-04,9,0.0002
-8.240e-04,9,-4e-05
-8.220e-04,9,0.0002
-8.200e-04,9,-8e-05
-8.180e-04,9.4,0
-8.160e-04,9,-4e-05
-8.140e-04,9,0.0002
-8.120e-04,9,-0.00016
-8.100e-04,9,0.0002
-8.080e-04,9.4,0
-8.060e-04,9.8,4e-05
-8.040e-04,9.8,0
